Tytul;issn;eissn;punkty;;;;;;;;
Medicine;1939-5094;;35;;;;;;;;
Willdenowia;0511-9618;;20;;;;;;;;
Wilson Journal of Ornithology;1559-4491;;20;;;;;;;;
WIND AND STRUCTURES;1226-6116;;25;;;;;;;;
WIND ENERGY;1095-4244;;40;;;;;;;;
WIRELESS COMMUNICATIONS & MOBILE COMPUTING;1530-8669;;25;;;;;;;;
WIRELESS NETWORKS;1022-0038;;25;;;;;;;;
WIRELESS PERSONAL COMMUNICATIONS;0929-6212;;20;;;;;;;;
WISCONSIN LAW REVIEW;0043-650X;;30;;;;;;;;
WOCHENBLATT FUR PAPIERFABRIKATION;0043-7131;;15;;;;;;;;
WOMEN & HEALTH;0363-0242;;30;;;;;;;;
WOMEN & THERAPY;0270-3149;;15;;;;;;;;
Women and Birth;1871-5192;;30;;;;;;;;
WOMENS HEALTH ISSUES;1049-3867;;40;;;;;;;;
WOMENS STUDIES INTERNATIONAL FORUM;0277-5395;;25;;;;;;;;
WOOD AND FIBER SCIENCE;0735-6161;;30;;;;;;;;
WOOD RESEARCH;1336-4561;;20;;;;;;;;
WOOD SCIENCE AND TECHNOLOGY;0043-7719;;40;;;;;;;;
WORK AND OCCUPATIONS;0730-8884;;35;;;;;;;;
WORK AND STRESS;0267-8373;;45;;;;;;;;
WORK EMPLOYMENT AND SOCIETY;0950-0170;;35;;;;;;;;
WORK-A Journal of Prevention Assessment & Rehabilitation;1051-9815;;15;;;;;;;;
Workplace Health & Safety;2165-0799;;15;;;;;;;;
WORLD BANK ECONOMIC REVIEW;0258-6770;;40;;;;;;;;
WORLD BANK RESEARCH OBSERVER;0257-3032;;40;;;;;;;;
WORLD DEVELOPMENT;0305-750X;;40;;;;;;;;
WORLD ECONOMY;0378-5920;;30;;;;;;;;
World Englishes;0883-2919;;30;;;;;;;;
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY;1562-2975;;35;;;;;;;;
World Journal of Emergency Surgery;1749-7922;;30;;;;;;;;
WORLD JOURNAL OF GASTROENTEROLOGY;1007-9327;;25;;;;;;;;
WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY;0959-3993;;20;;;;;;;;
World Journal of Pediatrics;1708-8569;;20;;;;;;;;
WORLD JOURNAL OF SURGERY;0364-2313;;35;;;;;;;;
World Journal of Surgical Oncology;1477-7819;;20;;;;;;;;
WORLD JOURNAL OF UROLOGY;0724-4983;;35;;;;;;;;
World Mycotoxin Journal;1875-0710;;25;;;;;;;;
World Neurosurgery;1878-8750;;35;;;;;;;;
WORLD POLICY JOURNAL;0740-2775;;15;;;;;;;;
WORLD POLITICS;0043-8871;;50;;;;;;;;
World Psychiatry;1723-8617;;50;;;;;;;;
World Rabbit Science;1257-5011;;25;;;;;;;;
World Trade Review;1474-7456;;25;;;;;;;;
WORLD WIDE WEB-INTERNET AND WEB INFORMATION
SYSTEMS;1386-145X;;30;;;;;;;;
WORLDS POULTRY SCIENCE JOURNAL;0043-9339;;35;;;;;;;;
Worldviews on Evidence-Based Nursing;1545-102X;;45;;;;;;;;
WOUND REPAIR AND REGENERATION;1067-1927;;35;;;;;;;;
WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND
PRACTICE;1044-7946;;15;;;;;;;;
WRITTEN COMMUNICATION;0741-0883;;35;;;;;;;;
Współczesna Onkologia;1428-2526;1897-4309;15;;;;;;;;
Wulfenia;1561-882X;;25;;;;;;;;
XENOBIOTICA;0049-8254;;25;;;;;;;;
XENOTRANSPLANTATION;0908-665X;;30;;;;;;;;
X-RAY SPECTROMETRY;0049-8246;;20;;;;;;;;
Yakhteh;1561-4921;;15;;;;;;;;
YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL
SOCIETY OF JAPAN;0031-6903;;15;;;;;;;;
YALE LAW JOURNAL;0044-0094;;50;;;;;;;;
Yearbook of Physical Anthropology;0096-848X;;30;;;;;;;;
YEAST;0749-503X;;25;;;;;;;;
YONAGO ACTA MEDICA;0513-5710;;15;;;;;;;;
YONSEI MEDICAL JOURNAL;0513-5796;;25;;;;;;;;
Young;1103-3088;;25;;;;;;;;
YOUTH & SOCIETY;0044-118X;;35;;;;;;;;
Youth Violence and Juvenile Justice;1541-2040;;35;;;;;;;;
ZAMM-Zeitschrift fur Angewandte Mathematik und
Mechanik;0044-2267;;30;;;;;;;;
Zbornik Radova Ekonomskog Fakulteta u Rijeci-Proceedings
of Rijeka Faculty of Economics;1331-8004;;15;;;;;;;;
Zdravniski Vestnik-Slovenian Medical Journal;1318-0347;;15;;;;;;;;
Zdravstveno Varstvo;0351-0026;;15;;;;;;;;
Zebrafish;1545-8547;;35;;;;;;;;
ZEITGESCHICHTE;0256-5250;;15;;;;;;;;
Zeitschrift der Deutschen Gesellschaft fur
Geowissenschaften;1860-1804;;15;;;;;;;;
ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN;0232-2064;;25;;;;;;;;
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK;0044-2275;;35;;;;;;;;
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE
CHEMIE;0044-2313;;20;;;;;;;;
ZEITSCHRIFT FUR ARBEITS-UND
ORGANISATIONSPSYCHOLOGIE;0932-4089;;15;;;;;;;;
Zeitschrift fur Arznei- & Gewurzpflanzen;1431-9292;;15;;;;;;;;
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE;0044-2380;;15;;;;;;;;
ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK;0044-1449;;20;;;;;;;;
Zeitschrift für Entwicklungspsychologie und Pädagogische
Psychologie;0049-8637;;20;;;;;;;;
Zeitschrift fur Erziehungswissenschaft;1434-663X;;20;;;;;;;;
ZEITSCHRIFT FUR ETHNOLOGIE;0044-2666;;15;;;;;;;;
Zeitschrift fur Evaluation;1619-5515;;15;;;;;;;;
Zeitschrift fur Familienforschung;1437-2940;;20;;;;;;;;
ZEITSCHRIFT FUR GASTROENTEROLOGIE;0044-2771;;15;;;;;;;;
ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE;0948-2393;;15;;;;;;;;
ZEITSCHRIFT FUR GEOMORPHOLOGIE;0372-8854;;15;;;;;;;;
ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE;0948-6704;;20;;;;;;;;
Zeitschrift fur Gesundheitspsychologie;0943-8149;;15;;;;;;;;
ZEITSCHRIFT FUR KINDER-UND JUGENDPSYCHIATRIE UND
PSYCHOTHERAPIE;1422-4917;;20;;;;;;;;
Zeitschrift für Klinische Psychologie und Psychotherapie:
Forschung und Praxis;1616-3443;;25;;;;;;;;
ZEITSCHRIFT FUR KRISTALLOGRAPHIE;0044-2968;;20;;;;;;;;
Zeitschrift fur Kristallographie-Crystalline Materials;2194-4946;;25;;;;;;;;
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL
STRUCTURES;1433-7266;;15;;;;;;;;
Zeitschrift fur Medizinische Physik;0939-3889;;25;;;;;;;;
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A
JOURNAL OF PHYSICAL SCIENCES;0932-0784;;20;;;;;;;;
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A
JOURNAL OF CHEMICAL SCIENCES;0932-0776;;15;;;;;;;;
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A
JOURNAL OF BIOSCIENCES;0939-5075;;15;;;;;;;;
Zeitschrift für Neurospcyhologie;1016-264X;;20;;;;;;;;
Zeitschrift fur Orthopadie und Unfallchirurgie;1864-6697;;15;;;;;;;;
ZEITSCHRIFT FUR PADAGOGIK;0044-3247;;15;;;;;;;;
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE;1010-0652;;20;;;;;;;;
Zeitschrift fur Personalforschung;0179-6437;;15;;;;;;;;
ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL
JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS;0942-9352;;15;;;;;;;;
Zeitschrift fur Psychiatrie Psychologie und Psychotherapie;1661-4747;;20;;;;;;;;
Zeitschrift fur Psychologie-Journal of Psychology;2190-8370;;30;;;;;;;;
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND
PSYCHOTHERAPIE;1438-3608;;25;;;;;;;;
ZEITSCHRIFT FUR RHEUMATOLOGIE;0340-1855;;15;;;;;;;;
Zeitschrift fur Sexualforschung;0932-8114;;20;;;;;;;;
ZEITSCHRIFT FUR SOZIOLOGIE;0340-1804;;20;;;;;;;;
Zeitschrift fur Soziologie der Erziehung und Sozialisation;1436-1957;;15;;;;;;;;
Zeitschrift fur Sportpsychologie;1612-5010;;15;;;;;;;;
Zeitschrift fur Sprachwissenschaft;0721-9067;;25;;;;;;;;
Zeitschrift fur Wirtschaftsgeographie;0044-3751;;15;;;;;;;;
Zemdirbyste-Agriculture;1392-3196;;20;;;;;;;;
ZENTRALBLATT FUR CHIRURGIE;0044-409X;;15;;;;;;;;
Zhurnal Nevrologii I Psikhiatrii imeni S S Korsakova;1997-7298;;15;;;;;;;;
ZHURNAL OBSHCHEI BIOLOGII;0044-4596;;15;;;;;;;;
ZHURNAL VYSSHEI NERVNOI DEYATELNOSTI IMENI I P
PAVLOVA;0044-4677;;15;;;;;;;;
ZKG INTERNATIONAL;0949-0205;;15;;;;;;;;
ZOO BIOLOGY;0733-3188;;25;;;;;;;;
ZooKeys;1313-2989;;25;;;;;;;;
Zoologia;1984-4670;;20;;;;;;;;
ZOOLOGICA SCRIPTA;0300-3256;;35;;;;;;;;
ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY;0024-4082;;40;;;;;;;;
ZOOLOGICAL SCIENCE;0289-0003;;25;;;;;;;;
ZOOLOGICAL STUDIES;1021-5506;;25;;;;;;;;
ZOOLOGICHESKY ZHURNAL;0044-5134;;15;;;;;;;;
ZOOLOGISCHER ANZEIGER;0044-5231;;30;;;;;;;;
ZOOLOGY;0944-2006;;35;;;;;;;;
ZOOLOGY IN THE MIDDLE EAST;0939-7140;;15;;;;;;;;
ZOOMORPHOLOGY;0720-213X;;30;;;;;;;;
Zoonoses and Public Health;1863-1959;;30;;;;;;;;
ZOOSYSTEMA;1280-9551;;20;;;;;;;;
Zoosystematics and Evolution;1860-0743;;20;;;;;;;;
ZOOTAXA;1175-5326;;20;;;;;;;;
ZUCHTUNGSKUNDE;0044-5401;;15;;;;;;;;
ZYGON;0591-2385;;20;;;;;;;;
ZYGOTE;0967-1994;;15;;;;;;;;
ŻYWNOŚĆ - Nauka Technologia Jakość;1425-6959;;15;;;;;;;;
Academic Journal of Modern Philology;2299-7164;2353-3218;7;;;;;;;;
Academic Review [ Академічний огляд ];2074-5354;;8;;;;;;;;
Academy of Aesthetic and Anti-Aging Medicine;2081-3678;;2;;;;;;;;
ACC JOURNAL Science of Economics;1803-9782;;2;;;;;;;;
Accounting Research Journal;1030-9616;;8;;;;;;;;
Acta Agraria et Silvestria series Silvestris;0065-0927;;8;;;;;;;;
Acta Agrobotanica;0065-0951;2300-357X;14;;;;;;;;
Acta Agrophysica;1234-4125;;14;;;;;;;;
ACTA ALBARUTHENICA;1898-8091;;6;;;;;;;;
Acta Angiologica;1234-950X;1644-3276;10;;;;;;;;
Acta Archaeologica Lodziensia;0065-0986;;9;;;;;;;;
Acta Asiatica Varsoviensia;0860-6102;2449-8653;11;;;;;;;;
Acta Balneologica;2082-1867;;8;;;;;;;;
Acta Biologica;1230-3976;2353-3013;9;;;;;;;;
Acta Biologica Cracoviensia Series Zoologia;0001-530X;;6;;;;;;;;
Acta Bio-Optica et Informatica Medica, Inżynieria
Biomedyczna;1234-5563;;12;;;;;;;;
Acta Botanica Cassubica;1643-3912;;3;;;;;;;;
ACTA BOTANICA SILESIACA;1895-5738;;7;;;;;;;;
Acta Cassubiana;1509-5703;;6;;;;;;;;
Acta Elbingensia;1730-9980;;4;;;;;;;;
Acta Energetica;2300-3022;;7;;;;;;;;
Acta Entomologica Silesiana;1230-7777;2353-1703;7;;;;;;;;
Acta Geographica Lodziensia;0065-1249;;11;;;;;;;;
Acta Geographica Silesiana;1897-5100;;5;;;;;;;;
Acta Haematologica Polonica;0001-5814;;14;;;;;;;;
Acta Humana;2082-4459;2449-8491;6;;;;;;;;
Acta Innovations;2300-5599;;8;;;;;;;;
Acta Iuris Stetinensis (Roczniki Prawnicze);2083-4373;;7;;;;;;;;
Acta Mechanica et Automatica;1898-4088;2300-5319;14;;;;;;;;
Acta Medica Lituanica;1392-0138;;4;;;;;;;;
Acta Medica Transilvanica;1453-1968;;6;;;;;;;;
Acta Medicorum Polonorum;2083-0343;;3;;;;;;;;
Acta Militaria Mediaevalia;1895-4103;;3;;;;;;;;
Acta Mycologica;0001-625X;2353-074X;14;;;;;;;;
Acta Neophilologica;1509-1619;;8;;;;;;;;
Acta Neuropsychologica;1730-7503;2084-4298;12;;;;;;;;
Acta Palaeobotanica;0001-6594;2082-0259;14;;;;;;;;
Acta Philologica;0065-1524;;8;;;;;;;;
Acta Physica Polonica B Proceedings Supplement;1899-2358;2082-7865;12;;;;;;;;
Acta Poligraphica;2299-9981;;5;;;;;;;;
ACTA POLONO-RUTHENICA;1427-549X;;13;;;;;;;;
Acta Scholae Superioris Medicinae Legnicensis;2084-3607;;1;;;;;;;;
Acta Scientarum Polonorum Administratio Locorum;1644-0749;;9;;;;;;;;
Acta Scientiarum Polonorum - Agricultura;1644-0625;2300-8504;11;;;;;;;;
Acta Scientiarum Polonorum - Biotechnologia;1644-065X;2083-8654;6;;;;;;;;
Acta Scientiarum Polonorum - Geodesia et Descriptio
Terrarum;1644-0668;2083-8662;8;;;;;;;;
Acta Scientiarum Polonorum - Medicina Veterinaria;1644-0676;2083-8670;6;;;;;;;;
Acta Scientiarum Polonorum Formatio Circumiectus;1644-0765;;10;;;;;;;;
Acta Scientiarum Polonorum Seria Silvarum
Colendarum Ratio et Industria Lignaria;1644-0722;;7;;;;;;;;
Acta Scientiarum Polonorum Technica Agraria;1644-0684;;6;;;;;;;;
ACTA Scientiarum Polonorum Technologia Alimentaria;1644-0730;1898-9594;15;;;;;;;;
Acta Scientiarum Polonorum Zootechnica;1644-0714;2300-6145;10;;;;;;;;
ACTA SCIENTIARUM POLONORUM. SERIA:
ARCHITECTURA;1644-0633;;11;;;;;;;;
Acta Scientiarum Polonorum. Seria: Oeconomia;1644-0757;;15;;;;;;;;
Acta Scientifica Academiae Ostroviensis. Sectio A, Nauki Humanistyczne, Społeczne i Techniczne;2300-1739;;7;;;;;;;;
Acta Societatis Metheoriticae Polonorum;2080-5497;;7;;;;;;;;
Acta Universitatis Lodzensis Folia Psychologica;1427-969X;2353-4842;6;;;;;;;;
Acta Universitatis Lodziensis Folia Germanica;1427-9665;2449-6820;6;;;;;;;;
Acta Universitatis Lodziensis Folia Litteraria Rossica;1427-9681;2353-4834;8;;;;;;;;
Acta Universitatis Lodziensis Folia Oeconomica;0208-6018;2353-7663;14;;;;;;;;
Acta Universitatis Lodziensis Folia Sociologica;0208-600X;2353-4850;8;;;;;;;;
Acta Universitatis Lodziensis, Folia Biologica et
Oecologica;1730-2366;;6;;;;;;;;
Acta Universitatis Lodziensis, Folia historica;0208-6050;;8;;;;;;;;
ACTA UNIVERSITATIS LODZIENSIS, FOLIA LINGUISTICA
ROSSICA;1731-8025;2353-9623;8;;;;;;;;
Acta Universitatis Lodziensis. Folia Geographica
Physica;1427-9711;2353-6063;3;;;;;;;;
Acta Universitatis Lodziensis. Folia Geographica Socio-
Oeconomica;1508-1117;2353-4826;8;;;;;;;;
Acta Universitatis Lodziensis. Folia Iuridica;0208-6069;;4;;;;;;;;
Acta Universitatis Lodziensis. Folia Librorum;0860-7435;;4;;;;;;;;
Acta Universitatis Lodziensis. Folia Linguistica;0208-6077;2450-0119;4;;;;;;;;
Acta Universitatis Lodziensis. Folia Litteraria Polonica;1505-9057;2353-1908;12;;;;;;;;
ACTA UNIVERSITATIS LODZIENSIS. FOLIA LITTERARIA
ROMANICA;1505-9065;2449-8831;6;;;;;;;;
Acta Universitatis Lodziensis. Folia Philosophica;0208-6107;2353-9631;6;;;;;;;;
Acta Universitatis Lodziensis. Kształcenie
Polonistyczne Cudzoziemców;0860-6587;;8;;;;;;;;
ACTA UNIVERSITATIS MATTHIAE BELII PHYSICAL
EDUCATION AND SPORT;1338-0974;;4;;;;;;;;
Acta Universitatis Nicolai Copernici Pedagogika;0860-1232;;7;;;;;;;;
Acta Universitatis Nicolai Copernici ZARZĄDZANIE;1689-8966;;5;;;;;;;;
Acta Universitatis Nicolai Copernici, Archeologia;0137-6616;;4;;;;;;;;
Acta Universitatis Nicolai Copernici, Ekonomia;2080-0339;2392-1269;7;;;;;;;;
Acta Universitatis Palackianae Olomucensis, Facultas
Rerum Naturalium, Geographica;1212-2157;;7;;;;;;;;
Acta Universitatis Wratislaviensis Slavica
Wratislaviensia;0137-1150;;13;;;;;;;;
Acta Universitatis Wratislaviensis. Niemcoznawstwo;2084-252X;;4;;;;;;;;
ACTA UNIVERSITATIS WRATISLAVIENSIS. PRAWO;0524-4544;;7;;;;;;;;
ACTA VŠFS Ekonomické studie a analýzy;1802-792X;;6;;;;;;;;
Acta Zoologica Cracoviensia;2299-6060;2300-0163;13;;;;;;;;
Actual Problems of Economics [ Актуальні проблеми
економіки ];1993-6788;;10;;;;;;;;
Ad Americam: Journal of American Studies;1896-9461;2449-8661;11;;;;;;;;
Adam Mickiewicz University Law Review;2083-9782;;6;;;;;;;;
Adeptus;2300-0783;;6;;;;;;;;
Administracja Publiczna. Studia Krajowe i
Międzynarodowe;1730-5306;;3;;;;;;;;
Administracja.Teoria-Dydaktyka-Praktyka;1896-0049;;8;;;;;;;;
Administrator;0867-5953;;5;;;;;;;;
ADR. ARBITRAŻ I MEDIACJA;1898-942X;;5;;;;;;;;
Advance Laboratory Medicine International;2228-8961;;4;;;;;;;;
Advance Tropical Medicine and Public Health
International;2228-897X;;4;;;;;;;;
Advanced Logistic Systems;1789-2198;;5;;;;;;;;
Advanced Materials Research;1662-8985;;7;;;;;;;;
Advances in Bioresearch;0976-4585;;6;;;;;;;;
Advances in Computational Research;0975-3273;;7;;;;;;;;
Advances in Computer Science Research;2300-715X;;5;;;;;;;;
Advances in Electronics and Telecommunications;2081-8580;;5;;;;;;;;
Advances in Information Mining;0975-3265;;4;;;;;;;;
Advances in Manufacturing Science and Technology;0137-4478;1895-9881;6;;;;;;;;
Advances in Materials Science;1730-2439;2083-4799;11;;;;;;;;
Advances in Medical Informatics;2249-9466;;8;;;;;;;;
Advances in Science and Technology of Water
Resources;1006-7647;;6;;;;;;;;
Advances in Science and Technology Research Journal;2080-4075;2299-8624;10;;;;;;;;
African Journal of Biomedical Research;1119-5096;;8;;;;;;;;
Afro-Egyptian Journal of Infectious and Endemic
Diseases;2090-7613;;2;;;;;;;;
AFRYKA;1234-0278;2449-822X;6;;;;;;;;
AGH Drilling, Oil, Gas Quarterly;2299-4157;2300-7052;11;;;;;;;;
AGH Journal of Mining and Geoengineering;2299-257X;;4;;;;;;;;
Agricultural Engineering;2083-1587;2449-5999;10;;;;;;;;
Agricultural Finance Review;0002-1466;;10;;;;;;;;
AKCENT. LITERATURA I SZTUKA. KWARTALNIK;0208-6220;;10;;;;;;;;
Aktualne Problemy Biomechaniki;1898-763X;;4;;;;;;;;
Aktualności Neurologiczne;1641-9227;;7;;;;;;;;
Aktywność ruchowa ludzi w różnym wieku;2299-744X;;4;;;;;;;;
Albanian Journal of Agricultural Sciences (AJAS);2218-2020;;7;;;;;;;;
Alergia;1641-5728;;4;;;;;;;;
Alergia Astma Immunologia - przegląd kliniczny;1427-3101;2083-2834;9;;;;;;;;
Alergologia i Immunologia Współczesna;2392-1420;;6;;;;;;;;
Alergologia Immunologia;1731-9404;;3;;;;;;;;
Alergologia Info;2353-818X;;7;;;;;;;;
Alergologia Wspólczesna;1507-6989;;2;;;;;;;;
Alergologia Współczesna Info;1896-8120;;3;;;;;;;;
Alergoprofil;1734-7572;;6;;;;;;;;
ALGEBRA AND DISCRETE MATHEMATICS;1726-3255;;8;;;;;;;;
Alkoholizm i Narkomania;0867-4361;1689-3530;13;;;;;;;;
Almanach Historyczny;1642-4530;;7;;;;;;;;
Almanach Karaimski;2300-8164;2353-5466;6;;;;;;;;
ALMANACH URPL,WMiPB;1896-3102;;2;;;;;;;;
American Chemical Science Journal;2249-0205;;9;;;;;;;;
American Journal of Case Reports, The;1941-5923;;6;;;;;;;;
American Journal of Experimental Agriculture;2231-0606;;8;;;;;;;;
AMERICAN JOURNAL OF PHARMTECH RESEARCH;2249-3387;;4;;;;;;;;
AMERYKA ŁACIŃSKA;1506-8900;2081-1152;7;;;;;;;;
AMET International Journal of Management;2231-6779;;4;;;;;;;;
AMHA – Acta medico-historica Adriatica;1334-4366;;8;;;;;;;;
An International Journal of Optimization and Control:
Theories & Applications (IJOCTA);2146-0957;;8;;;;;;;;
Anabasis. Studia Classica et Orientalia;2082-8993;;11;;;;;;;;
Anaesthesiology Intensive Therapy;1642-5758;1731-2531;14;;;;;;;;
Analecta Archaeologica Ressoviensia;2084-4409;;8;;;;;;;;
Analecta Cracoviensia;0209-0864;2391-6842;12;;;;;;;;
ANALECTA NIPPONICA. JOURNAL OF POLISH
ASSOCIATION FOR JAPANESE STUDIES;2084-2147;;5;;;;;;;;
Analecta. Studia i Materiały z Dziejów Nauki;1509-0957;;7;;;;;;;;
ANALELE STIINTIFICE ALE UNIVERSITATII ALEXANDRU IOAN CUZA DIN IASI-SERIE NOUA-SECTIUNEA II a.
GENETICA SI BIOLOGIE MOLECULARA;1582-3571;;7;;;;;;;;
Analele Universitatii Eftimie Murgu Resita. Fascicula
de Inginerie;1453-7397;;3;;;;;;;;
Analele Universitatii din Oradea, Seria Geografie;1221-1273;;4;;;;;;;;
Analityka : nauka i praktyka;1509-4650;;4;;;;;;;;
Analiza i Egzystencja;1734-9923;2300-7621;10;;;;;;;;
ANDES - Boletin del Centro de Estudios Precolombinos
de la Universidad de Varsovia;1428-1384;;3;;;;;;;;
Anestezjologia i Ratownictwo;1898-0732;;8;;;;;;;;
Anglica Wratislaviensia;0301-7966;;9;;;;;;;;
Anglica. An International Journal of English Studies;0860-5734;;8;;;;;;;;
Annales Academiae Medicae Gedanensis;0303-4135;;5;;;;;;;;
Annales Academiae Medicae Silesiensis;0208-5607;1734-025X;8;;;;;;;;
Annales Canonici;1895-0620;2391-6567;8;;;;;;;;
Annales Mathematicae Silesianae;0860-2107;;9;;;;;;;;
ANNALES MISSIOLOGICI POSNANIENSES;1731-6170;;7;;;;;;;;
Annales Neophilologiarum;1734-4557;;7;;;;;;;;
ANNALES UMCS - Sectio AAA - PHYSICA;0137-6861;2300-7559;5;;;;;;;;
Annales UMCS sec. E, Agricultura;0365-1118;2083-7410;9;;;;;;;;
Annales UMCS Sectio FF Philologiae;0239-426X;2449-853X;6;;;;;;;;
Annales UMCS, Sectio K: Politologia;1428-9512;2300-7567;12;;;;;;;;
Annales Universitatis Mariae Curie- Skłodowska,
sectio G;0458-4317;2449-8505;7;;;;;;;;
Annales Universitatis Mariae Curie-Sklodowska Sectio
EEE Horticultura;1233-2127;2083-6058;6;;;;;;;;
ANNALES UNIVERSITATIS MARIAE CURIE-
SKLODOWSKA. SECTIO B: GEOGRAPHIA, GEOLOGIA, MINERALOGIA ET PETROGRAPHIA;0137-1983;2083-3601;9;;;;;;;;
ANNALES UNIVERSITATIS MARIAE CURIE-
SKLODOWSKA. SECTIO C: BIOLOGIA;0066-2232;2083-3563;9;;;;;;;;
Annales Universitatis Mariae Curie-Skłodowska Sectio
AI Informatica;1732-1360;2083-3628;6;;;;;;;;
Annales Universitatis Mariae Curie-Skłodowska Sectio
EE Zootechnica;0239-4243;2083-7399;7;;;;;;;;
Annales Universitatis Mariae Curie-Skłodowska Sectio
I Philosophia-Sociologia;0137-2025;2300-7540;8;;;;;;;;
Annales Universitatis Mariae Curie-Skłodowska, Sectio
A, Mathematica;0365-1029;2083-7402;8;;;;;;;;
Annales Universitatis Mariae Curie-Skłodowska, Sectio
H Oeconomia;0459-9586;2449-8513;11;;;;;;;;
Annales Universitatis Mariae Curie-Skłodowska. Sectio
J, Paedagogia-Psychologia;0867-2040;2449-8521;8;;;;;;;;
Annales Universitatis Mariae Curie-Skłodowska. Sectio
L. Artes;1732-1352;2083-3636;7;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis Studia ad Bibliothecarum Scientiam Pertinentia;2081-1861;2300-3057;7;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis Studia de Securitate et Educatione Civili;2082-0917;;3;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis
Studia Geographica;2084-5456;2449-9056;7;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis
Studia Paedagogica III;2299-2103;2392-3210;3;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis
Studia Russologica;1689-9911;;6;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis,
Studia Linguistica;2083-1765;;8;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis,
Studia Politologica;2081-3333;;7;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Anglica (Online);2449-5239;;3;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis. Studia ad Didacticam Biologiae Pertinentia.;2083-7267;;4;;;;;;;;
ANNALES UNIVERSITATIS PAEDAGOGICAE CRACOVIENSIS. STUDIA AD DIDACTICAM LITTERARUM POLONARUM ET LINGUAE POLONAE PERTINENTIA;2082-0909;;5;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis. Studia ad Didacticam Mathematicae Pertinentia;2080-9751;;5;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia de Arte et Educatione;2081-3325;2300-5912;7;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia de Cultura;2083-7275;1644-1885;8;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Historica;2081-3341;;5;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Historicolitteraria;2081-1853;2300-5831;8;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Mathematica;2081-545X;2300-133X;8;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Poetica;2353-4583;2449-7401;6;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Psychologica;2084-5596;;6;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Sociologica;2081-6642;2449-688X;8;;;;;;;;
Annales Universitatis Paedagogicae Cracoviensis.
Studia Technica;2081-5468;;2;;;;;;;;
Annales. Etyka w życiu gospodarczym;1899-2226;2353-4869;10;;;;;;;;
Annals of Diagnostic Paediatric Pathology;1427-4426;;3;;;;;;;;
Annals of Parasitology;2299-0631;2300-6706;15;;;;;;;;
Annals of Warsaw University of Life Sciences - SGGW
Horticulture and Landscape Architecture;1898-8784;;7;;;;;;;;
Annals of Warsaw University of Life Sciences- SGGW -
Agriculture;1898-6730;;10;;;;;;;;
Annals of Warsaw University of Life Sciences- SGGW
Animal Science;1898-8830;;12;;;;;;;;
Annals of Warsaw University of Life Sciences-SGGW
Land Reclamation;1898-8857;2081-9617;14;;;;;;;;
Annals of West University of Timişoara, series of
Biology;1582-3830;;1;;;;;;;;
Annals of WULS, Forestry and Wood Technology;1898-5912;;10;;;;;;;;
Annals. Food Science and Technology;2065-2828;;5;;;;;;;;
Annaly aritmologii [ Анналы аритмологии ];1814-6791;;2;;;;;;;;
Annual Center Review;1899-5942;;4;;;;;;;;
